ASIN,Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Topic mentions in ASIN,Customer feedback examples
B07BVNMPK9,negative,inside damage,101,28,1,damaged inside
B07CYZC1YQ,negative,bag is faded,138,27,1,the hand bag color is faded
B07LDT337F,negative,size issues,21476,3691,2,"its too small and not as expected,too small product quality is very bad"
B07NVMZH48,negative,product doesn't look good,8306,1788,1,not so good looking
B07Q4F3YVQ,negative,product has stains,850,197,1,the bag that came along with the big bag was stained
B07RKHYVMC,negative,leather is coming off,190,49,1,glossy leather like outside portion and cloth plastic blend material inside
B0999K5S3P,negative,bad quality,4794,893,1,not good quality
B09M9YDVF4,negative,size is not fit,3432,821,1,size is not as expected
B09M9ZGYBF,positive,nice and spacious,1492,229,1,i love the quality trendy bag very spacious
B09Q1G7BT2,negative,material not up to mark,227,74,1,not up to the mark
B0B464X5MJ,negative,buckle is broken,142,45,2,"the buckle is broken and rusted,buckle broken"
B07DT1ZGQ7,negative,strap is broken,569,170,1,the strap was broken
B07M7WJQRF,negative,not as shown in picture,10280,1970,1,item received as different color and different style
B07MY5SBVT,positive,looks nice,7013,969,1,nice
B083XZYY9H,negative,zip pocket,146,37,2,"do not contain small apparent such as zip in the center of any hand bag,there is no zips inside the bag which i expected"
B09M9ZGYBF,negative,material is not good,4433,960,7,"the item doesnt match my expectations,material is very bad,material is bad,bad quality material,poor material quality"
B07DFMXSMZ,negative,heavy weight product,574,147,1,very big and heavy in weight
B07DT1ZGQ7,negative,white color bag,302,52,3,"stitching done with white threads which are coming out from places,stitching of white thread,white thread of stitching and straps finishing is not good"
B07G4G2LW8,negative,zip is broken,938,167,1,the zip is broken
B07KS5YC8P,negative,black stains on bag,313,74,1,got the black variant of the bag
B083XZYY9H,negative,no brand logo,453,101,2,"no mach,no separation"
B083XZYY9H,negative,product doesn't look good,8306,1788,87,"this is not good and not enough column in it,as well as does not look good on me,this was not acceptable at all,not showing as good as in photo felt that not right for me,does not look good on me"
B08B5CP6FK,negative,scratches on product,795,223,1,there is a many scratches and small cut in shoulder bag and hand clutch
B09Q1F3WWH,positive,looks nice,7013,969,1,its looks good but i see some stains on it
B09Q1JVKQW,negative,leather looks cheap,281,75,1,the material definitely looks good but the quality of the lock is cheap
B0BGFR4NPZ,negative,looks old,3077,592,1,product looks old and fade in color with stiches issue
B07DFMXSMZ,negative,product doesn't look good,8306,1788,1,not good
B07DT1ZGQ7,negative,looks like old stock,211,35,1,its an old stock
B07KS5YC8P,negative,bad quality,4794,893,1,quality is not good
B07R7LLV77,negative,looks like already used,104,24,1,seems used already
B07S19V9Z3,negative,dull color,1714,352,1,quality of big bag is good but too plain
B082RDZZJ1,negative,color not good,3861,866,2,"i dont want this because its color not good,style and color is not as expected"
B083Y1XPMM,negative,inside pockets,112,18,1,i thought it would have pockets but it didnt
B08B5CP6FK,negative,chain quality,276,50,1,chain is jung and strip is not good
B09M9ZGYBF,negative,material is peeling,37,9,1,the product is has holes and the outer layer of the product is peeling off
B09Q1F3WWH,negative,bad finishing,1129,297,2,"looks poor quality,quality is not up to the mark"
B09Q1FX34C,negative,torn at corners,156,54,1,it is torn from side
B09Q1GCCGZ,negative,buckle is broken,142,45,1,buckle is broken and bag is distorted
