Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Customer feedback examples
negative,not what i am looking for,65,21,"it is not the item i wanted to buy,not what i am looking for,doesnt match what i was looking for,it not what i was looking for,this is not what i was looking for its complete different"
negative,misleading picture,23,3,"even then image in silhoutte is misleading,the picture and description is misleading,this is so misleading,misleading information in description,the images were misleading"
negative,local product,158,35,"the quality is that of a local product,it looks like a very local product,local product type of quality in logo,i think theyve given some local brand product,product is more of a local item"
positive,color as shown,432,122,"i really luv the quality and its color is as its shown in picture,especially the color is exactly the same as been shown,i got exactly same product as shown in picture exact color as shown,exactly the same color as shown in the picture,its got the style and color is aso as shown in the picture"
negative,bag is very light,25,7,"item is damaged and also seems like used product because one of the bags color is lightened,the stuff of the bag is very light,i thought its because of new one but the quality of stitches inside the bag are too light,the color of the bag is too light,the color of the bag is light in shade"
positive,beautiful than picture,15,1,"it is so beautiful than that of the picture,it was more beautiful than the picture on amazon,amazing product which very beautiful than shown in the image,its looking more beautiful than the picture,yes it looks prettier than what is shown in pic"
positive,good pouch,35,8,"good one with four other pouches and its utility is gr,product is very good looking bright in color good pouches quite useful for shopping,nice pouch i like this very much thank you,the bag looks classy and pouch look is great,all pouches are really cute and useful"
negative,not as shown in picture,13786,4341,"this is not even close to what is in the pictures,this is not even close to what is being shown,also it is not at all like it is shown in the image,this is not at all what ut look like in image,the item does not appear the way it was showing in picture"
positive,good shine,43,13,"only + ve thing is that it looks good but,the color is very good and has a shine to it,its shine and look capture everyone s attention immediately,the shine is beautiful,looks great and very good quality"
negative,not safe to carry things,163,74,"the material is not good and also it is not strong enough to keep many items,does not look good to carry,does not look good to carry,item is not strong for daily use,not safe for carrying valuable items"
negative,narrow product,761,313,"very small and poor quality product pls return its request,very small and looks very dull compared to website description,very poor quality and very small,very small and quality also is not that good,material quality is poor and very small sizes"
negative,smaller bag,415,119,"the size of the delivered bag is smaller than normal hand bag and even that shown on the photo,the bag shipped is smaller in size than mentioned in website,website says length cms truth cms website says height cms truth cms website says width cms truth cms bag is much smaller in reality than what is mentioned on the website,the size of the bag is very small as compared to the image shown on the site,the size of bag is smaller than it looked on website"
positive,nice clear,13,,"good quality and clear is good can go with this,very nice quality and nice clear,this review is post few months of use and it was found to be in same pristine conditions,like the clear same as pictures,admire its clear"
negative,small hole in bag,146,63,"bags has small holes over front and back,bags also have a tiny hole at the base,the bag delivered to me has a small hole in it,there is small hole near handle of the bag,notice a small hole on the surface of the bag"
positive,bag with many compartments,73,16,"go for it if you are looking for a bag which can fit many things that can be stored in different compartments,i searched for many bags but this bag is really spacious with its 3 compartment,the bag has nice compartments with a large zip divider section for all the necessary belongings,the bag is divided into perfect compartments with a large zip divider,a really spacious bag with lot of compartments"
positive,good compartments,156,39,"it is spacious and has a number of compartments so it is very useful to me,it has good storage with enough number of compartments,very handy and has many compartments to organize the stuff,its the perfect size with many useful pockets compartments,this brand is love super classy range with spacious compartments"
positive,looks better than picture,69,16,"this product is even better than so - called branded products,this looks much more better than in pictures,its looking better in picture than the real one,looks better in real than the picture,accordingly this is more cheaper than local market i am happy"
positive,looks awsm,45,12,"look was awsm,looking awsm beg,look is awsm,stuff is awsm,it is a excellent bag looking very rich and the problem is weight of the bag otherwise its awsm"
positive,spacious product,1655,270,"the material is actually great and it is quite spacious too,product is very good and the more importantly it is very much spacious,can put a lot of stuff as it is very spacious,the pattern on it looks very beautiful the best part is that its very spacious,its fancy and spacious at the same time and it also has an inner cloth"
negative,threads coming,172,43,"seems like the threads have come out and so is the coloring,multiple threads are coming out here and there,threads are coming out from the sides and corners,thread has come out at sm place,product looks used its thread on the start are all coming out"
positive,good on online,17,5,"i like this product because it looks same as seen in online,go for it guys you can trust this online purchase,its one of the best online shopping experience i ve had highly recommended wont get disappointed with this,very good app for online shopping,best online shopping experience this is"
positive,long lasting,50,10,"hopefully this is amazing and long lasting too,it sure seems very long lasting,but material is thick and i think it will last long,the material is long lasting,very good long lasting"
negative,leather is torn,452,114,"its damaged and torn its clearly visible the leather is damaged,need same product but leather has been torn in some places,item is damaged with torn leather and stitches came out,its leather is torn we have to return it,product is teared up n its leather is having cracks n also its different product though"
positive,good thickness,55,25,"quality is very good as well as thickness is good,the quality and thickness are good its as it is shown in the picture,the product is good in terms of thickness outside,value for mony and quality of material and thickness are,thickness is awesome may be it will last long"
positive,soft bag,62,12,"as shown in pic soft n very pretty looking bag,turned out to be a very soft material bag,bag in the pic appears to be of very soft material,the quality of bag is too gud very soft no pain on shoulders very cute bag,the product was same as shown in picture and the bag was really soft i suggest people to buy in this rate its worth"
negative,hard bag,73,23,"the material of the bag is very hard and its very heavy,the material is hard of which the bag is made,the bag is very stiff and hard and there is no comfort in wearing it,logo on bag is different + zips are too hard,bag material is too hard and looks rough"
negative,bad smell,791,296,"it is very smelly and the quality is very bad,product quality is very poor and its smelling very bad,there is peculiar bad smell that does not go hence cancelling,quality is not good and having very bad smell,belt missing and very bad quality with foul smell inside"
positive,laptop fits,38,9,"my laptop fits real well among with a couple of books a bottle boxes its spacious,my laptop fits in perfectly leaving space for few more items,easily accommodates laptop of 14 inch sturdy and attractive,its so spacious can keep a laptop inside,my laptop size 17 inches fits in perfectly"
negative,zip inside the bag,239,113,"their is not a single zip inside as well as outside this bag is without zip,poor comfort only one zip no zips are avaliable inside,both sides open and it doesnt have inner zip pockets,the zip inside is glued and is coming off with wet glue sticks to the hand,no zip or pocket is inside secondly big purse after zipping both sides are open"
positive,holds many things,50,9,"more varieties and combo pack bundles are needed for choosing,can hold a lot of things and has good strength,enough inner space to accommodate many things,can accommodate a lot of things,holds quite number of items"
positive,color and design,74,10,"product is really good specially color and design,nice design and color and very much strong,most fascinating is design and color,design and color is very nice and attractive,nice quality lovely design and color"
negative,looks worn,138,28,"i think its a very old worn out piece,looks really old and worn out like its repolished,product is old and worn out on the sides,it looks very old and worn out type,the hand back is worn out and looks like an used one"
negative,belt is not good,38,10,"i dont like its look also belt material is not good,long belt is missing also not good quality,inside material not well and belt system not as requirement,the material is very bad and the belt is not good also very bad looking too,belt hooks are on either side that doesnt look good"
negative,heavy weight product,1158,369,"too big and so heavy also looked shop soiled,size is very large and it is very heavy also,product is very heavy being aged i could not lift,it is too heavy without any stuff inside of it,also its too heavy without anything put inside it"
positive,space to carry,34,8,"their quality is too good many space to carry more items,looks smart to carry enough space to carry useful stuff,most importantly it has enough space so to carry all my important stuff,has enough space to carry enough stuff,enough space to carry so many things"
negative,cut mark,244,85,"it is cut and is coming out,there is a cut marks on it,this item is cut in the side,the item is worn out and there are cuts at several places,there seems to be a cut on the side"
negative,size issues,29856,9059,"item too large as expected and image shown in the screen,not as seen as in picture this is too small,size very small and color design and style different from the site image and description,the item was too small and not as per my expectation,item is too large as compared to what is shown in picture"
positive,traditional occasions,11,,"very much suitable for traditional occasions as well,can be carried on western and traditional outfit both,it goes well with traditional wear and good for gifting as well thanks,it can be carried on western and traditional outfit both,goes with both traditional and western outfit"
positive,looks simple,78,20,"i like this product is looks very simple and unique,looks classy as very comfortable for use great for casual use,i like it its simple n latest,its a simple and fashionable design and good quality and very nice material,from outside its so nice n fancy that it doesnt look like boring while carrying"
positive,beautiful i love,47,14,"beautiful i like it very much same as show in picture,its beautiful as shown in picture i love it i am so,its so beautiful i like it very much,i like it very much its very beautiful,i must say its adorable i loved it"
negative,chain is broken,417,140,"chain is broken and item looks like it is used,the chain is broken and the ribbon is also missing,it is very stiff and the middle chain is also broken,return due to chain accessory is found broken,chain is damaged and it is torn on the side"
negative,bag size is not comfortable,167,42,"the size of the bag is not suitable for my requirement,does not fit for my use with the size bag has,not looking good and the size of the bag is also not ok for me,size of the bag we have expected is not matching,size of the bag is not able to meet my requirements"
negative,zip not available,320,90,"one of the zip is not opening at all,the products have zip issue the zips are not opening,zip not close one time open then they are not close,due to no zip available its have been returned,it is not shap because it is not available the zips bay"
negative,no space,48,17,"no space is there,it has no space,there is no space,no space in inner side,there is no much space"
negative,design not the same,52,9,"not need since it is not matching the design as shown in the picture,design which i saw on poster and the item delivered is not same i am not liking it,even the design was not same,also the design not the same,design also not as in the pic"
negative,hard material,523,177,"the material is too hard and thats what i dont need,its too hard material and heavy item,inside the cloth is tissue paper cloth and it is very hard,very big in size and material is very hard,material used is very hard and chance of getting it damaged is high"
negative,bag handle not attached,81,26,"bag handle not attached to bag and there no scope to attach as well,the bag handle is stiff its not flexible at all,a handle bolt is missing due toh which the bag can not be used properly,the handle of bag is twisted twice which makes it unable to carry in hands or shoulder,the handle of the bag is not fixed"
positive,big to carry,14,2,"its quite big to carry all your useful stuff,plus size to carry a lot of stuff,it is too much spacious and large for carry many things,big and carry lot of things,big enuf to carry lots of stuff"
positive,baggit product,92,8,"its wonderful all my baggit collections are just wow,she loves baggit bags and this too she liked it,product is good quality as we expect baggit to be,last yr my bag from baggit was awesome,i have always been a fan of baggit company"
positive,nice pattern,13,3,"very nice quality and beautiful pattern,i liked the decorative pattern in design,the pattern is very beautiful,i loved the pattern design and texture of the bag,the pattern is lovely"
