ASIN,Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Topic mentions in ASIN,Customer feedback examples
B08NYPH9FS,negative,short length,551,155,1,length is too short
B09HSCK9K5,positive,good choice,31,6,1,good choice
B09PJMM2XM,negative,short length,551,155,1,length is too short
B0B7XL9PT3,negative,short length,551,155,1,unsatisfactory quality short size color changed
B0B7XN8MJT,negative,finishing is not good,872,317,2,"the product material and finishing is not good,product not expected as in the image and quality worst"
B07CRJJC8M,negative,zip is not working,1927,595,2,"zip not working and another zip broken,defective near main zip"
B07YDCWLWF,negative,waste of money,3228,903,2,"waste of money,this is so poor thing website declare its price 3000 above but bag is like 100 rupees price so poor"
B083XZ8JD9,negative,not comfortable,1451,603,1,size is large i am not comfortable
B09HSCK9K5,negative,bag handle not attached,81,26,1,this purse handle not look good
B09N3K2ZCP,negative,expected better quality,244,91,5,"i want to order better quality product,expected a better quality,i expected better quality,give some quality more on product,expected better quality"
B09N3K2ZCP,negative,inside pockets,52,14,1,product is good but i expected the side pockets inside the bag
B09N3K2ZCP,negative,no chain,145,48,3,"it has no chain column inside only a single colunmn,no many chain,bag are too small and there is no chain"
B09PJMZ7XF,negative,zip quality,1317,457,3,"zip quality not satisfied,poor zipper,poor quality zipper is poor and worse product i have ever seen"
B0BTJ2THK3,negative,not comfortable,1451,603,2,"does not look good and material is not good as like in picture,looking not good"
B0824QC1H4,positive,looks nice,6968,1539,1,very nice and worth for money
B083Y1GHC8,negative,bad quality,6425,2142,1,quality not good
B08NYPH9FS,negative,material is not good,6393,2458,4,"material quality is not good,i received product like as shown as in picture but material not good thats why i return but i always like to buy all items from amazon,poor quality,poor quality"
B0974S6R81,negative,product doesn't look good,9218,3091,3,"not looking good,not nice,smallest purse stitching / folding is not in straight line and hence not look proper"
B09N3K2ZCP,negative,chain quality,284,95,3,"the chains are damegedzip quality not good finishing of the product,only one chain in big bag its not good,no sling strap for hand bag"
B09N3K2ZCP,negative,no shoulder belt,29,9,1,there is no side string
B09N3K2ZCP,positive,water proof,33,5,1,amazing bag please buy to best gift option color is also pretty and its little bit waterproof
B09VZ8GP4V,negative,stitching is open,158,53,1,stitch is open
B083XZLNYK,positive,material quality,1919,484,1,nice purse and nice clothe
B09N3LZYHF,negative,chain is broken,417,140,2,"chain is broken,damage chains"
B0B7XFTXNV,negative,bag is torn,1721,552,1,the strap of the bag is torn
B083Y19MMJ,negative,color design,1103,288,7,"color,product is looks like old and color fad"
B08S2TRL5L,negative,broken strap,464,179,1,belt strap is damaged
B09DGMKBYZ,negative,zip is not working,1927,595,2,"zip is of no use,zip not working properly"
B09N3K2ZCP,negative,looks untidy,44,18,4,"not worth at all,very failed,incomplete set,the product quality is not good and this one is the rejected piece"
B07CRJJC8M,positive,value for money,8601,2240,1,product is excellent for this price
B083XZK6RJ,positive,lightweight product,46,5,1,lightweight and can not carry heavy items
B08NYPH9FS,negative,color design,1103,288,1,color
B09N3LZYHF,negative,doesn't look like new,293,82,1,product is used and it is not looking new
B09VZ8GP4V,negative,waste of money,3228,903,1,not reliable so do not want to waste my hard earned money
B09XBF2ZJ8,negative,material is not good,6393,2458,1,low - quality material had been used
B0B18CN68L,negative,size issues,29856,9059,2,"size is too short and small and it is very uncomfortable,to small"
B0B18FMNG4,negative,strap size is small,231,104,2,"size is too small for all of 3 bags,bag size is too small"
B0B2K4D2PG,negative,cracks on the surface,41,14,1,on back side of big bad got cracks
B07YDCWLWF,negative,looks like already used,97,31,1,it is looking like some one already used
B083XZK6RJ,negative,zip is not working,1927,595,3,"bags are not having secure zip,the zipper doesnt cover anyrhing,not full zipper"
B09N3K2ZCP,negative,zip not fully covered,293,96,6,"zip is not covering the whole top,the block is not fully covered with zip,does not have full zip cover,zip is not covered properly,zips are not fully stitched"
B09XBGMNFB,negative,product doesn't look good,9218,3091,1,not good
B07QV1V72M,negative,color not same,903,280,1,color is not as shown in image
B083XZHL6H,negative,bad quality,6425,2142,6,"the quality is not at all good,the quality is not good,quality is not good,not the exact color and quality is not good,small and not good quality"
B083XZK6RJ,negative,looks old,2185,529,16,"ive received a damaged and old product,this is old product very poor quality,it looks old and refurbished,product is dirty and looking like old also damage on one side,old used or broken material"
B083XZS9RY,negative,doesn't up to mark,1526,493,1,not up to the mark and different as shown in picture
